 	رده:انجمن سرطان آمریکا	Category:American_Cancer_Society	American_Cancer_Society
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان سنت لوئیس، میزوری	Category:National_Register_of_Historic_Places_in_St._Louis_County,_Missouri	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان استیونز، مینه‌سوتا	Category:National_Register_of_Historic_Places_in_Stevens_County,_Minnesota	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان سولیوان، نیویورک	Category:National_Register_of_Historic_Places_in_Sullivan_County,_New_York	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان سومتر، جورجیا	Category:National_Register_of_Historic_Places_in_Sumter_County,_Georgia	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان سوئیس، ایندیانا	Category:National_Register_of_Historic_Places_in_Switzerland_County,_Indiana	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان تالیافرو، جورجیا	Category:National_Register_of_Historic_Places_in_Taliaferro_County,_Georgia	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان تیفت، جورجیا	Category:National_Register_of_Historic_Places_in_Tift_County,_Georgia	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان تراویس، تگزاس	Category:National_Register_of_Historic_Places_in_Travis_County,_Texas	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در آکس‌بریج، ماساچوست	Category:National_Register_of_Historic_Places_in_Uxbridge,_Massachusetts	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان وال ورده، تگزاس	Category:National_Register_of_Historic_Places_in_Val_Verde_County,_Texas	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان وندربورگ، ایندیانا	Category:National_Register_of_Historic_Places_in_Vanderburgh_County,_Indiana	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان ونانگو، پنسیلوانیا	Category:National_Register_of_Historic_Places_in_Venango_County,_Pennsylvania	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان وارن، میسیسیپی	Category:National_Register_of_Historic_Places_in_Warren_County,_Mississippi	 
@@1	رده:مکان‌های تاریخی ثبت ملی شده در شهرستان واشینگتن، مینه‌سوتا	Category:National_Register_of_Historic_Places_in_Washington_County,_Minnesota	 
@@1	رده:کلیساهای ملی در رم	Category:National_churches_in_Rome	 
@@1	رده:ملی‌گرایی در آفریقا	Category:Nationalism_in_Africa	 
@@1	رده:ملی‌گرایی در پاکستان	Category:Nationalism_in_Pakistan	 
@@1	رده:زیست‌گاه‌های حیات وحش در ایالت نیدرزاکسن	Category:Nature_reserves_in_Lower_Saxony	 
@@1	رده:سحابی‌ها در ادبیات داستانی	Category:Nebulae_in_fiction	 
@@1	رده:نئونازیسم در اوکراین	Category:Neo-Nazism_in_Ukraine	 
@@1	رده:معماری نئوکلاسیک در بلژیک	Category:Neoclassical_architecture_in_Belgium	 
@@1	رده:انرژی هسته‌ای در ایتالیا	Category:Nuclear_energy_in_Italy	 
@@1	رده:تریاک در چین	Category:Opium_in_China	 
@@1	رده:ارتدوکسی مشرقی در مصر	Category:Oriental_Orthodoxy_in_Egypt	 
@@1	رده:ارتدوکسی مشرقی در عراق	Category:Oriental_Orthodoxy_in_Iraq	 
@@1	رده:ادبیات پاکستان در انگلیسی	Category:Pakistani_literature_in_English	 
@@1	رده:دیرین‌شناسی در آلاسکا	Category:Paleontology_in_Alaska	 
@@1	رده:دیرین‌شناسی در کرواسی	Category:Paleontology_in_Croatia	 
@@1	رده:دیرین‌شناسی در ایندیانا	Category:Paleontology_in_Indiana	 
@@1	رده:دیرین‌شناسی در آیووا	Category:Paleontology_in_Iowa	 
@@1	رده:دیرین‌شناسی در ژاپن	Category:Paleontology_in_Japan	 
@@1	رده:دیرین‌شناسی در کانزاس	Category:Paleontology_in_Kansas	 
@@1	رده:دیرین‌شناسی در مریلند	Category:Paleontology_in_Maryland	 
@@1	رده:دیرین‌شناسی در ماساچوست‌ها	Category:Paleontology_in_Massachusetts	 
@@1	رده:دیرین‌شناسی در میشیگان	Category:Paleontology_in_Michigan	 
@@1	رده:دیرین‌شناسی در میزوری	Category:Paleontology_in_Missouri	 
@@1	رده:دیرین‌شناسی در مونتانا	Category:Paleontology_in_Montana	 
@@1	رده:دیرین‌شناسی در نوادا	Category:Paleontology_in_Nevada	 
@@1	رده:دیرین‌شناسی در نیوجرسی	Category:Paleontology_in_New_Jersey	 
@@1	رده:دیرین‌شناسی در نیومکزیکو	Category:Paleontology_in_New_Mexico	 
@@1	رده:دیرین‌شناسی در کارولینای شمالی	Category:Paleontology_in_North_Carolina	 
@@1	رده:دیرین‌شناسی در پنسیلوانیا	Category:Paleontology_in_Pennsylvania	 
@@1	رده:دیرین‌شناسی در تنسی	Category:Paleontology_in_Tennessee	 
@@1	رده:دیرین‌شناسی در تگزاس	Category:Paleontology_in_Texas	 
@@1	رده:دیرین‌شناسی در یوتا	Category:Paleontology_in_Utah	 
@@1	رده:دیرین‌شناسی در ویسکانسین	Category:Paleontology_in_Wisconsin	 
@@1	رده:دیرین‌شناسی در وایومینگ	Category:Paleontology_in_Wyoming	 
@@1	رده:مردم‌های فلسطینی در اردن	Category:Palestinians_in_Jordan	 
@@1	رده:مردم‌های فلسطینی در لبنان	Category:Palestinians_in_Lebanon	 
@@1	رده:آزارهای مسیحیان در ایران	Category:Persecution_of_Christians_in_Iran	 
@@1	رده:صنعت نفت در بحرین	Category:Petroleum_industry_in_Bahrain	 
@@1	رده:صنعت نفت در بنگلادش	Category:Petroleum_industry_in_Bangladesh	 
@@1	رده:صنعت نفت در عراق	Category:Petroleum_industry_in_Iraq	 
@@1	رده:صنعت نفت در عمان	Category:Petroleum_industry_in_Oman	 
@@1	رده:صنعت نفت در پاکستان	Category:Petroleum_industry_in_Pakistan	 
@@1	رده:صنعت نفت در قطر	Category:Petroleum_industry_in_Qatar	 
@@1	رده:صنعت نفت در عربستان سعودی	Category:Petroleum_industry_in_Saudi_Arabia	 
@@1	رده:جدی‌های (ستاره) در ادبیات داستانی	Category:Polaris_in_fiction	 
@@1	رده:حزب‌ها در دانمارک	Category:Political_parties_in_Denmark	 
@@1	رده:حزب‌ها در السالوادور	Category:Political_parties_in_El_Salvador	 
@@1	رده:حزب‌ها در ایسلند	Category:Political_parties_in_Iceland	 
@@1	رده:حزب‌ها در کنیا	Category:Political_parties_in_Kenya	 
@@1	رده:حزب‌ها در کویت	Category:Political_parties_in_Kuwait	 
@@1	رده:حزب‌ها در ماکائو	Category:Political_parties_in_Macau	 
@@1	رده:حزب‌ها در مغولستان	Category:Political_parties_in_Mongolia	 
@@1	رده:حزب‌ها در موزامبیک	Category:Political_parties_in_Mozambique	 
@@1	رده:حزب‌ها در پاراگوئه	Category:Political_parties_in_Paraguay	 
@@1	رده:حزب‌ها در پرتغال	Category:Political_parties_in_Portugal	 
@@1	رده:حزب‌ها در اسلواکی	Category:Political_parties_in_Slovakia	 
@@1	رده:حزب‌ها در سوئیس	Category:Political_parties_in_Switzerland	 
@@1	رده:حزب‌ها در زامبیا	Category:Political_parties_in_Zambia	 
@@1	رده:سرکوبی سیاسی در کوبا	Category:Political_repression_in_Cuba	 
@@1	رده:فقر در کانادا	Category:Poverty_in_Canada	 
@@1	رده:پرسبیتری در ایرلند	Category:Presbyterianism_in_Ireland	 
@@1	رده:پرسبیتری در اسکاتلند	Category:Presbyterianism_in_Scotland	 
@@1	رده:انتخابات‌های ریاست جمهوری در ایرلند	Category:Presidential_elections_in_Ireland	 
@@1	رده:انتخابات‌های ریاست جمهوری در مولداوی	Category:Presidential_elections_in_Moldova	 
@@1	رده:انتخابات‌های ریاست جمهوری در ترکیه	Category:Presidential_elections_in_Turkey	 
@@1	رده:انتخابات‌های ریاست جمهوری در اوکراین	Category:Presidential_elections_in_Ukraine	 
@@1	رده:زندان‌ها در استرالیا	Category:Prisons_in_Australia	 
@@1	رده:زندان‌ها در انگلستان	Category:Prisons_in_England	 
@@1	رده:زندان‌ها در آلمان	Category:Prisons_in_Germany	 
@@1	رده:زندان‌ها در ایرلند	Category:Prisons_in_Ireland	 
@@1	رده:زندان‌ها در آفریقای جنوبی	Category:Prisons_in_South_Africa	 
@@1	رده:زندان‌ها در ترکیه	Category:Prisons_in_Turkey	 
@@1	رده:ممنوعیت الکل در کانادا	Category:Prohibition_in_Canada	 
@@1	رده:تن‌فروشی در ترکیه	Category:Prostitution_in_Turkey	 
@@1	رده:پروتستانتیسم در هند	Category:Protestantism_in_India	 
@@1	رده:پروتستانتیسم در اسکاتلند	Category:Protestantism_in_Scotland	 
@@1	رده:ترابری عمومی در ایرلند	Category:Public_transport_in_Ireland	 
@@1	رده:ترابری عمومی در سنگاپور	Category:Public_transport_in_Singapore	 
@@1	رده:ترابری عمومی در سوئیس	Category:Public_transport_in_Switzerland	 
@@1	رده:پوئبلوها در نیومکزیکو	Category:Pueblos_in_New_Mexico	 
@@1	رده:خرگوش‌های صحرایی و خرگوش‌ها در هنر	Category:Rabbits_and_hares_in_art	 
@@1	رده:نژادپرستی در ایران	Category:Racism_in_Iran	 
@@1	رده:نژادپرستی در سوئیس	Category:Racism_in_Switzerland	 
@@1	رده:رادیو در آرژانتین	Category:Radio_in_Argentina	 
@@1	رده:رادیو در انگلستان	Category:Radio_in_England	 
@@1	رده:رادیو در پاریس	Category:Radio_in_Paris	 
@@1	رده:ایستگاه‌های رادیویی در ولینگتون	Category:Radio_stations_in_Wellington	 
@@1	رده:ترابری ریلی در کاردیف	Category:Rail_transport_in_Cardiff	 
@@1	رده:ترابری ریلی در کاتالونیا	Category:Rail_transport_in_Catalonia	 
@@1	رده:ترابری ریلی در چین	Category:Rail_transport_in_China	 
@@1	رده:خطوط راه‌آهن در مجارستان	Category:Railway_lines_in_Hungary	 
@@1	رده:ایستگاه‌های راه‌آهن در بلژیک	Category:Railway_stations_in_Belgium	 
@@1	رده:ایستگاه‌های راه‌آهن در صربستان	Category:Railway_stations_in_Serbia	 
@@1	رده:مناطق کنوانسیون رامسر در اوکراین	Category:Ramsar_sites_in_Ukraine	 
@@1	رده:قطار شهری در آرژانتین	Category:Rapid_transit_in_Argentina	 
@@1	رده:پناهنده‌ها در عراق	Category:Refugees_in_Iraq	 
@@1	رده:دین در آنگویلا	Category:Religion_in_Anguilla	 
@@1	رده:دین در چشایر	Category:Religion_in_Cheshire	 
@@1	رده:دین در کنتیکت	Category:Religion_in_Connecticut	 
@@1	رده:دین در کورن‌وال	Category:Religion_in_Cornwall	 
@@1	رده:دین در ساسکس	Category:Religion_in_Sussex	 
@@1	رده:دین در اوتاراکند	Category:Religion_in_Uttarakhand	 
@@1	رده:گردشگری مذهبی در هند	Category:Religious_tourism_in_India	 
@@1	رده:انرژی تجدیدپذیر در کالیفرنیا	Category:Renewable_energy_in_California	 
@@1	رده:جمهوری‌خواهی در باربادوس	Category:Republicanism_in_Barbados	 
@@1	رده:جمهوری‌خواهی در جامائیکا	Category:Republicanism_in_Jamaica	 
@@1	رده:جمهوری‌خواهی در مراکش	Category:Republicanism_in_Morocco	 
@@1	رده:جمهوری‌خواهی در سوئد	Category:Republicanism_in_Sweden	 
@@1	رده:جاده‌ها در شهرستان بالتیمور، مریلند	Category:Roads_in_Baltimore_County,_Maryland	 
@@1	رده:کولی در فرانسه	Category:Romani_in_France	 
@@1	رده:راگبی ۱۳ نفره در کانادا	Category:Rugby_league_in_Canada	 
@@1	رده:راگبی ۱۵ نفره در آرژانتین	Category:Rugby_union_in_Argentina	 
@@1	رده:راگبی ۱۵ نفره در هند	Category:Rugby_union_in_India	 
@@1	رده:مردم‌های روس در لتونی	Category:Russians_in_Latvia	 
@@1	رده:رستگاری در کلیسای کاتولیک	Category:Salvation_in_Catholicism	 
@@1	رده:مدرسه‌ها در فلوریدا	Category:Schools_in_Florida	 
@@1	رده:مدرسه‌ها در تایلند	Category:Schools_in_Thailand	 
@@1	رده:کلیسای ارتدکس صربستان در مونته‌نگرو	Category:Serbian_Orthodox_Church_in_Montenegro	 
@@1	رده:تشیع در الجزایر	Category:Shia_Islam_in_Algeria	 
@@1	رده:تشیع در مراکش	Category:Shia_Islam_in_Morocco	 
@@1	رده:آیین سیک در هند	Category:Sikhism_in_India	 
@@1	رده:استخراج نقره در نوادا	Category:Silver_mining_in_Nevada	 
@@1	رده:آسمان‌خراش‌ها در مونترآل	Category:Skyscrapers_in_Montreal	 
@@1	رده:برده‌داری در ژاپن	Category:Slavery_in_Japan	 
@@1	رده:اسلوونی در جنگ جهانی دوم	Category:Slovenia_in_World_War_II	 
@@1	رده:دخانیات در کانادا	Category:Smoking_in_Canada	 
@@1	رده:سوسیالیسم در کره جنوبی	Category:Socialism_in_South_Korea	 
@@1	رده:نیروی خورشیدی در ژاپن	Category:Solar_power_in_Japan	 
@@1	رده:عنکبوت‌ها در فرهنگ عامه	Category:Spiders_in_popular_culture	 
@@1	رده:ورزش در چنای	Category:Sport_in_Chennai	 
@@1	رده:ورزش در مهاراشترا	Category:Sport_in_Maharashtra	 
@@1	رده:ورزش در پریشتینا	Category:Sport_in_Pristina	 
@@1	رده:ورزش در وینیپگ	Category:Sport_in_Winnipeg	 
@@1	رده:ورزش‌ها در بیکرزفیلد، کالیفرنیا	Category:Sports_in_Bakersfield,_California	 
@@1	رده:ورزش‌ها در دیتون، اوهایو	Category:Sports_in_Dayton,_Ohio	 
@@1	رده:ورزش‌ها در اونسویل، ایندیانا	Category:Sports_in_Evansville,_Indiana	 
@@1	رده:ورزش‌ها در لنکستر، پنسیلوانیا	Category:Sports_in_Lancaster,_Pennsylvania	 
@@1	رده:ورزش‌ها در لاس وگاس	Category:Sports_in_Las_Vegas	 
@@1	رده:ورزش‌ها در نیوهیون، کنتیکت	Category:Sports_in_New_Haven,_Connecticut	 
@@1	رده:ورزش‌ها در نورفک، ویرجینیا	Category:Sports_in_Norfolk,_Virginia	 
@@1	رده:ورزش‌ها در اوماها	Category:Sports_in_Omaha,_Nebraska	 
@@1	رده:ورزش‌ها در اسپوکن	Category:Sports_in_Spokane,_Washington	 
@@1	رده:ورزش‌ها در ویچیتا، کانزاس	Category:Sports_in_Wichita,_Kansas	 
@@1	رده:ورزش‌ها در ووستر، ماساچوست	Category:Sports_in_Worcester,_Massachusetts	 
@@1	رده:غذای خیابانی در کره جنوبی	Category:Street_food_in_South_Korea	 
@@1	رده:خورشید در فرهنگ	Category:Sun_in_culture	 
@@1	رده:تسنن در سودان	Category:Sunni_Islam_in_Sudan	 
@@1	رده:تنیس روی میز در هند	Category:Table_tennis_in_India	 
@@1	رده:تائوئیسم در چین	Category:Taoism_in_China	 
@@1	رده:مخابرات در تانزانیا	Category:Telecommunications_in_Tanzania	 
@@1	رده:تلویزیون در اروپا	Category:Television_in_Europe	 
@@1	رده:تروریسم در قبرس	Category:Terrorism_in_Cyprus	 
@@1	رده:تروریسم در کنیا	Category:Terrorism_in_Kenya	 
@@1	رده:تروریسم در میانمار	Category:Terrorism_in_Myanmar	 
@@1	رده:تروریسم در پرو	Category:Terrorism_in_Peru	 
@@1	رده:حادثه‌های تروریستی در ۱۹۹۷ (میلادی)	Category:Terrorist_incidents_in_1997	 
@@1	رده:حادثه‌های تروریستی در ۲۰۱۵ (میلادی)	Category:Terrorist_incidents_in_2015	 
@@1	رده:حادثه‌های تروریستی در لاهور	Category:Terrorist_incidents_in_Lahore	 
@@1	رده:اسمورف‌ها در سینما	Category:The_Smurfs_in_film	 
@@1	رده:تئاتر در دترویت	Category:Theatre_in_Detroit	 
@@1	رده:تئاتر در میشیگان	Category:Theatre_in_Michigan	 
@@1	رده:دزدان در حقوق	Category:Thieves_in_law	 
@@1	رده:ببرها در هند	Category:Tigers_in_India	 
@@1	رده:زمان در ایتالیا	Category:Time_in_Italy	 
@@1	رده:زمان در میانمار	Category:Time_in_Myanmar	 
@@1	رده:زمان در سوئیس	Category:Time_in_Switzerland	 
@@1	رده:گردشگری در رئونیون	Category:Tourism_in_Réunion	 
@@1	رده:گردشگری در سیکیم	Category:Tourism_in_Sikkim	 
@@1	رده:جاذبه‌های گردشگری در اودی‌پور	Category:Tourist_attractions_in_Udaipur	 
@@1	رده:ترابری در دارجلینگ	Category:Transport_in_Darjeeling	 
@@1	رده:ترابری در پنوم‌پن	Category:Transport_in_Phnom_Penh	 
@@1	رده:ترابری در پرستون 	Category:Transport_in_Preston	 
@@1	رده:ترابری در سانتیاگو، کیپ ورد	Category:Transport_in_Santiago,_Cape_Verde	 
@@1	رده:ترابری در توتوکودی	Category:Transport_in_Thoothukudi	 
@@1	رده:ورزش سه‌گانه در هند	Category:Triathlon_in_India	 
@@1	رده:توفندها در بنگلادش	Category:Tropical_cyclones_in_Bangladesh	 
@@1	رده:جاده ۶۶ ایالات متحده در آریزونا	Category:U.S._Route_66_in_Arizona	 
@@1	رده:جاده ۶۶ ایالات متحده در کالیفرنیا	Category:U.S._Route_66_in_California	 
@@1	رده:جاده ۶۶ ایالات متحده در کانزاس	Category:U.S._Route_66_in_Kansas	 
@@1	رده:جاده ۶۶ ایالات متحده در نیومکزیکو	Category:U.S._Route_66_in_New_Mexico	 
@@1	رده:اوکراینیان در لهستان	Category:Ukrainians_in_Poland	 
@@1	رده:جنایت‌های جنگی در مانچوکوئو	Category:War_crimes_in_Manchukuo	 
@@1	رده:رفاه در کانادا	Category:Welfare_in_Canada	 
@@1	رده:انرژی بادی در آسیا	Category:Wind_power_in_Asia	 
@@1	رده:انرژی بادی در اروپا	Category:Wind_power_in_Europe	 
@@1	رده:سحر در ایتالیا	Category:Witchcraft_in_Italy	 
@@1	رده:حقوق زنان در اسلام	Category:Women's_rights_in_Islam	 
@@1	رده:حقوق زنان در کویت	Category:Women's_rights_in_Kuwait	 
@@1	رده:حقوق زنان در ترکیه	Category:Women's_rights_in_Turkey	 
@@1	رده:زنان در بوسنی و هرزگوین	Category:Women_in_Bosnia_and_Herzegovina	 
@@1	رده:زنان در بلغارستان	Category:Women_in_Bulgaria	 
@@1	رده:زنان در قرقیزستان	Category:Women_in_Kyrgyzstan	 
@@1	رده:زنان در پاناما	Category:Women_in_Panama	 
@@1	رده:زنان در قطر	Category:Women_in_Qatar	 
@@1	رده:زنان در اسکاتلند	Category:Women_in_Scotland	 
@@1	رده:زنان در سنگاپور	Category:Women_in_Singapore	 
@@1	رده:زنان در آسیای جنوب شرقی	Category:Women_in_Southeast_Asia	 
@@1	رده:زنان در سوریه	Category:Women_in_Syria	 
@@1	رده:زنان در اوگاندا	Category:Women_in_Uganda	 
@@1	رده:زنان در ونزوئلا	Category:Women_in_Venezuela	 
@@1	رده:زنان در اجرای قانون	Category:Women_in_law_enforcement	 
@@1	رده:زنان در ورزش‌ها	Category:Women_in_sports	 
@@1	رده:طبقه‌های کارگر در استرالیا	Category:Working_class_in_Australia	 
@@1	رده:میراث جهانی یونسکو در اسکاتلند	Category:World_Heritage_Sites_in_Scotland	 
@@1	رده:سال‌ها (میلادی) در آنتیگوآ و باربودا	Category:Years_in_Antigua_and_Barbuda	 
@@1	رده:سال‌ها (میلادی) در بنین	Category:Years_in_Benin	 
@@1	رده:جوانی در آسیا	Category:Youth_in_Asia	 
@@1	رده:معبدهای بودائی در تایلند	Category:Buddhist_temples_in_Thailand	 
@@1	رده:مسیحیت در اسکاتلند در قرون وسطی	Category:Christianity_in_medieval_Scotland	 
@@1	رده:کریسمس در دانمارک	Category:Christmas_in_Denmark	 
@@1	رده:جرم در منچستر بزرگ	Category:Crime_in_Greater_Manchester	 
@@1	رده:آموزش در ونیز	Category:Education_in_Venice	 
@@1	رده:فاشیسم در آرژانتین	Category:Fascism_in_Argentina	 
@@1	رده:بحران اقتصادی بزرگ در اروپا	Category:Great_Recession_in_Europe	 
@@1	رده:اسلام‌گرایی در بوسنی و هرزگوین	Category:Islamism_in_Bosnia_and_Herzegovina	 
@@1	رده:جودو در فرانسه	Category:Judo_in_France	 
@@1	رده:کاراته در هند	Category:Karate_in_India	 
@@1	رده:ارتدوکسی مشرقی در آفریقا	Category:Oriental_Orthodoxy_in_Africa	 
@@1	رده:ارتدوکسی مشرقی در جمهوری آذربایجان	Category:Oriental_Orthodoxy_in_Azerbaijan	 
@@1	رده:ارتدوکسی مشرقی در اریتره	Category:Oriental_Orthodoxy_in_Eritrea	 
@@1	رده:ارتدوکسی مشرقی در اتیوپی	Category:Oriental_Orthodoxy_in_Ethiopia	 
@@1	رده:ارتدوکسی مشرقی در لیبی	Category:Oriental_Orthodoxy_in_Libya	 
@@1	رده:انتخابات‌های ریاست جمهوری در روسیه	Category:Presidential_elections_in_Russia	 
@@1	رده:انتخابات‌های ریاست جمهوری در کره جنوبی	Category:Presidential_elections_in_South_Korea	 
@@1	رده:پروتستانتیسم در نیوزیلند	Category:Protestantism_in_New_Zealand	 
@@1	رده:تروریسم در اوکراین	Category:Terrorism_in_Ukraine	 
@@1	رده:جاذبه‌های گردشگری در برات (آلبانی)	Category:Tourist_attractions_in_Berat	 
@@1	رده:ترابری در آسانسول	Category:Transport_in_Asansol	 
@@1	رده:ترابری در سائو ویسنته، کیپ ورد	Category:Transport_in_São_Vicente,_Cape_Verde	 
@@1	رده:انگلستان در دهه ۱۱۸۰ (میلادی)	Category:1180s_in_England	 
@@1	رده:دانمارک در دهه ۱۴۲۰ (میلادی)	Category:1420s_in_Denmark	 
@@1	رده:هنگ کنگ در دهه ۱۹۶۰ (میلادی)	Category:1960s_in_Hong_Kong	 
@@1	رده:هنگ کنگ در دهه ۱۹۸۰ (میلادی)	Category:1980s_in_Hong_Kong	 
@@1	رده:موسیقی بریتانیا در دهه ۲۰۰۰ (میلادی)	Category:2000s_in_British_music	 
@@1	رده:خوراک در دهه ۲۰۱۰ (میلادی)	Category:2010s_in_food	 
@@1	رده:فرزندخواندگی در استرالیا	Category:Adoption_in_Australia	 
@@1	رده:فرزندخواندگی در فرانسه	Category:Adoption_in_France	 
@@1	رده:سیاه‌پوستان آمریکا در نیویورک سیتی	Category:African_Americans_in_New_York_City	 
@@1	رده:کشاورزی در کلمبیا	Category:Agriculture_in_Colombia	 
@@1	رده:کشاورزی در هنگ کنگ	Category:Agriculture_in_Hong_Kong	 
@@1	رده:کشاورزی در عراق	Category:Agriculture_in_Iraq	 
@@1	رده:کشاورزی در لتونی	Category:Agriculture_in_Latvia	 
@@1	رده:کشاورزی در نپال	Category:Agriculture_in_Nepal	 
@@1	رده:کشاورزی در پرو	Category:Agriculture_in_Peru	 
@@1	رده:الکل در سوئد	Category:Alcohol_in_Sweden	 
@@1	رده:یهودستیزی در ژاپن	Category:Antisemitism_in_Japan	 
@@1	رده:کلیسای کاتولیک در بلغارستان	Category:Catholicism_in_Bulgaria	 
@@1	رده:هوانوردی غیر نظامی در هند	Category:Civil_aviation_in_India	 
@@1	رده:جرم در ایرلند شمالی	Category:Crime_in_Northern_Ireland	 
@@1	رده:دوچرخه‌سواری در دانمارک	Category:Cycling_in_Denmark	 
@@1	رده:دوچرخه‌سواری در هنگ کنگ	Category:Cycling_in_Hong_Kong	 
@@1	رده:دوچرخه‌سواری در ژاپن	Category:Cycling_in_Japan	 
@@1	رده:دوچرخه‌سواری در اسپانیا	Category:Cycling_in_Spain	 
@@1	رده:زمین در فرهنگ	Category:Earth_in_culture	 
@@1	رده:انتخابات در لیبریا	Category:Elections_in_Liberia	 
@@1	رده:انرژی در هاوایی	Category:Energy_in_Hawaii	 
@@1	رده:فاشیسم در آسیا	Category:Fascism_in_Asia	 
@@1	رده:انتخابات‌های سراسری در نیوزیلند	Category:General_elections_in_New_Zealand	 
@@1	رده:رعایت بهداشت در فرانسه	Category:Health_care_in_France	 
@@1	رده:حقوق بشر در انگلستان	Category:Human_rights_in_England	 
@@1	رده:اسلام در مونته‌نگرو	Category:Islam_in_Montenegro	 
@@1	رده:اسلام در اسلوونی	Category:Islam_in_Slovenia	 
@@1	رده:حقوق دگرباشان جنسی در مالت	Category:LGBT_rights_in_Malta	 
@@1	رده:اجرای قانون در اکوادور	Category:Law_enforcement_in_Ecuador	 
@@1	رده:اجرای قانون در جامائیکا	Category:Law_enforcement_in_Jamaica	 
@@1	رده:قتل در کانادا	Category:Murder_in_Canada	 
@@1	رده:اجرام‌های نزدیک زمین در ۲۰۱۷ (میلادی)	Category:Near-Earth_objects_in_2017	 
@@1	رده:دیرین‌شناسی در آلاباما	Category:Paleontology_in_Alabama	 
@@1	رده:دیرین‌شناسی در جورجیا	Category:Paleontology_in_Georgia_(U.S._state)	 
@@1	رده:دیرین‌شناسی در کنتاکی	Category:Paleontology_in_Kentucky	 
@@1	رده:دیرین‌شناسی در مین	Category:Paleontology_in_Maine	 
@@1	رده:دیرین‌شناسی در اوهایو	Category:Paleontology_in_Ohio	 
@@1	رده:دیرین‌شناسی در ورمانت	Category:Paleontology_in_Vermont	 
@@1	رده:دیرین‌شناسی در ویرجینیای غربی	Category:Paleontology_in_West_Virginia	 
@@1	رده:حزب‌ها در عمان	Category:Political_parties_in_Oman	 
@@1	رده:پناهنده‌ها در نیوزیلند	Category:Refugees_in_New_Zealand	 
@@1	رده:دین در جامو و کشمیر	Category:Religion_in_Jammu_and_Kashmir	 
@@1	رده:دین در مغولستان	Category:Religion_in_Mongolia	 
@@1	رده:راگبی ۱۵ نفره در کره جنوبی	Category:Rugby_union_in_South_Korea	 
@@1	رده:تجارت در چین	Category:Trade_in_China	 
@@1	رده:زنان در آمریکای مرکزی	Category:Women_in_Central_America	 
@@1	رده:انگلستان در دهه ۱۰۳۰ (میلادی)	Category:1030s_in_England	 
@@1	رده:انگلستان در دهه ۱۰۴۰ (میلادی)	Category:1040s_in_England	 
@@1	رده:انگلستان در دهه ۱۰۹۰ (میلادی)	Category:1090s_in_England	 
@@1	رده:انگلستان در دهه ۱۲۵۰ (میلادی)	Category:1250s_in_England	 
@@1	رده:انگلستان در دهه ۱۳۷۰ (میلادی)	Category:1370s_in_England	 
@@1	رده:انگلستان در دهه ۱۴۳۰ (میلادی)	Category:1430s_in_England	 
@@1	رده:هنر در دهه ۱۴۵۰ (میلادی)	Category:1450s_in_art	 
@@1	رده:کشاورزی در کاستاریکا	Category:Agriculture_in_Costa_Rica	 
@@1	رده:احمدیه در پاکستان	Category:Ahmadiyya_in_Pakistan	 
@@1	رده:عید بشارت در هنر مسیحی	Category:Annunciation_in_Christian_art	 
@@1	رده:ضدکاتولیسیزم در لهستان	Category:Anti-Catholicism_in_Poland	 
@@1	رده:عرب‌ها در سوئد	Category:Arabs_in_Sweden	 
@@1	رده:فرشتگان مقرب در اسلام	Category:Archangels_in_Islam	 
@@1	رده:صنعت خودروسازی در فرانسه	Category:Automotive_industry_in_France	 
@@1	رده:صنعت خودروسازی در آلمان	Category:Automotive_industry_in_Germany	 
@@1	رده:صنعت خودروسازی در ایتالیا	Category:Automotive_industry_in_Italy	 
@@1	رده:صنعت خودروسازی در مکزیک	Category:Automotive_industry_in_Mexico	 
@@1	رده:بسکتبال در کره شمالی	Category:Basketball_in_North_Korea	 
@@1	رده:قوم‌های بربر در الجزایر	Category:Berbers_in_Algeria	 
@@1	رده:ماری‌جواناها در کالیفرنیا	Category:Cannabis_in_California	 
@@1	رده:ماری‌جواناها در نیوجرسی	Category:Cannabis_in_New_Jersey	 
@@1	رده:کارناوال در کلمبیا	Category:Carnival_in_Colombia	 
@@1	رده:قلعه‌ها در ایالت بادن-وورتمبرگ	Category:Castles_in_Baden-Württemberg	 
@@1	رده:کلیسای کاتولیک رم در پاکستان	Category:Catholic_Church_in_Pakistan	 
@@1	رده:حقوق کودکان در فرانسه	Category:Children's_rights_in_France	 
@@1	رده:مسیحیت در پنجاب (پاکستان)	Category:Christianity_in_Punjab,_Pakistan	 
